,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
NrSal,0.9502879395372457,0.06290149677631351,-0.06814954854017521,0.19484549361778142,-0.002126148930997167,-0.009841607023400313,-0.058055038166496375,-0.022704723238326834,0.09776305825643665,0.09501102987018839,0.0842703338388381,0.002883147342024506,-0.016410154387720234,0.058955255020672975,0.001939239906045564,-0.0728660241979246,0.038548395353660364,-0.04394113128799751,0.010664186930614558,0.01673350711182607,0.08852430891978329
RS,-0.5048244021844593,-0.029309940032740723,-0.36153272211293297,-0.43659722064302137,-0.34589171016652653,-0.06536047390854298,0.1924323590986835,0.34444622038985595,0.29864177913241985,0.1477892224604035,0.10372212472701796,0.024529397530988702,0.06784304631189672,0.014901154472397758,-0.0753547972980781,0.09800095545797391,0.0214857461209767,0.014153669279255782,0.012895151790274837,0.002872019643658746,0.007172146209456182
SalN,0.7791548271307505,-0.4517500141019487,0.12948502888985555,-0.16370977974995965,-0.056763655769310445,-0.1264640994734418,0.07540127494563903,-0.004785875175688928,0.07002904445637183,-0.10308582828022557,0.21877916141869902,0.023330203319911327,0.06923426709379558,-0.09474852731719878,0.1731831720541157,0.03191727007255288,-0.046031707824505746,-0.08586725792026788,0.024152355011561606,-0.038884897672917695,-0.006343229702956633
SupL,0.448178657131077,-0.3169488081296626,-0.05324696511956857,0.6972387575264359,-0.012916404653328816,0.08238614738460963,-0.16952087406231425,0.15715678384938964,0.2978757554380194,-0.004149864594360809,-0.06306376112603339,-0.09446011151417312,-0.13090024140425488,-0.15127156754710827,-0.03189748567762703,0.06015740593471533,0.042174533793922796,0.013350410888017018,-0.021939948127177374,-0.022423997800667936,-0.008363306318744523
Apa,0.7966982960967631,0.32049421336650064,0.002940056352989187,-0.1249416727652636,-0.18373367604903026,0.006182641996077084,0.25398282577797554,-0.029864813740864443,0.09441569724752757,-0.245273181897989,0.09151574859592501,-0.1565354933648248,-0.07639033935862384,0.07369563504663976,-0.11185839076053064,-0.10935366087707844,0.08034842200316787,-0.05104612699556355,-0.012777118407928847,-0.007641293756056101,-0.02772585448644539
Gaz,0.5841206010899117,-0.04380433498414065,-0.29822343330010315,0.2661415785806644,0.07399847299819748,0.5520444871229017,0.29365449247853737,-0.08324029989267771,-0.08757189801719552,0.07031768946426163,-0.024439269396878325,-0.07866961277848479,0.2655873188049595,-0.04321200117477197,-0.0360498209547025,0.022260678411535135,-0.0038935622845478325,-0.007945119542588449,-0.005143563790091387,-0.003951857364717951,-0.002441759284170984
Pensia,0.8034567980164771,0.17483008809559972,-0.22877581461996616,-0.2566174647869384,0.015461107283177998,0.20905639722237335,-0.0021598994299297665,0.2021254584883121,-0.06629386599726278,0.19622481879539602,0.10863913794676044,-0.09482074336766316,-0.11310632033037585,-0.010446051332139454,0.14963218360112351,-0.11194091539140383,-0.018369824224770143,0.08743251450782615,-0.03421156928201197,-0.010566916026132687,-0.010887220590298818
Paturi,0.7046357654610065,0.27537101569761496,-0.4036710778100343,-0.10468452745365012,-0.21848336891961448,-0.038004865701035895,0.06967748770193068,-0.18150747553273966,0.06473311740469692,0.15931799795222035,-0.2339052829856726,0.22955204875481833,-0.07728241322271143,-0.11784156983938641,-0.021598965251332314,-0.07122021094540316,-0.031604085013803865,-0.05169534696372537,0.01821231976895254,-0.012461570475079693,-0.015365920848313093
RataAb,-0.04355271090084592,0.34198902967853373,0.5783280013116935,0.27050718596746637,0.2382549155642487,-0.022325146639320722,0.5315280720096639,0.318657044735701,0.04545116565625253,0.011128470183980312,-0.08668062145980268,0.1276956669690161,-0.030525787659002785,-0.021045085032348868,0.06498482293775981,-0.011713071334529453,0.014408499309256959,-0.002744889651567783,0.01010312389920508,0.01071738084025229,0.0021558576808998653
AbsUniv,0.8726395581557865,0.1698940134109292,-0.018948572181194726,-0.20557014967282652,0.0313221099663233,-0.21250214724172756,0.18803829591344587,-0.06667824352529049,-0.08026009259352958,-0.016079288484424865,-0.068219754729749,-0.1334412368641394,-0.07519375254311597,-0.06495347084290598,-0.026467074486156945,0.14863762335666197,-0.10560226700713671,-0.01584740366435442,-0.08180504410410654,0.02977107459808236,0.016330224700431904
